player_id,player_name,team_id,team_name,season,league,level,position,age,games,plate_appearances,at_bats,hits,runs,doubles,triples,home_runs,rbi,walks,strikeouts,avg,obp,slg,ops,stolen_bases,caught_stealing,babip,total_bases,pa,k_rate,bb_rate,iso,sample_size
699027,José Suárez,279,Palm Beach Cardinals,2025,FSL,A,RF,20,88,366,327,81,51,12,2,3,29,30,99,0.248,.325,0.324,.649,17,6,.345,106,366,0.27049180327868855,0.08196721311475409,0.07600000000000001,Large
811339,Josh Kross,279,Palm Beach Cardinals,2025,FSL,A,1B,22,42,183,164,40,27,10,3,8,37,10,48,0.244,.311,0.488,.799,1,0,.291,80,183,0.26229508196721313,0.0546448087431694,0.244,Large
692568,Miguel Ugueto,279,Palm Beach Cardinals,2025,FSL,A,CF,22,6,26,25,6,3,2,0,0,3,1,6,0.24,.269,0.32,.589,2,0,.316,8,26,0.23076923076923078,0.038461538461538464,0.08000000000000002,Small
803679,Sammy Hernandez,279,Palm Beach Cardinals,2025,FSL,A,C,21,89,360,293,69,40,11,0,2,49,46,67,0.235,.362,0.294,.656,12,1,.295,86,360,0.18611111111111112,0.12777777777777777,0.059,Large
800266,Yordalin Peña,279,Palm Beach Cardinals,2025,FSL,A,CF,20,103,412,368,84,54,21,5,6,39,35,108,0.228,.299,0.361,.660,20,10,.301,133,412,0.2621359223300971,0.08495145631067962,0.13299999999999998,Large
703602,Jalin Flores,279,Palm Beach Cardinals,2025,FSL,A,3B,21,24,105,94,21,11,3,0,2,15,10,34,0.223,.295,0.319,.614,1,0,.322,30,105,0.3238095238095238,0.09523809523809523,0.096,Large
801629,Cade McGee,279,Palm Beach Cardinals,2025,FSL,A,3B,22,78,335,276,59,44,14,0,9,50,46,76,0.214,.334,0.362,.696,22,5,.254,100,335,0.22686567164179106,0.1373134328358209,0.148,Large
699031,Anyelo Encarnación,279,Palm Beach Cardinals,2025,FSL,A,SS,21,75,297,243,51,33,9,3,5,33,49,91,0.21,.351,0.333,.684,15,4,.313,81,297,0.3063973063973064,0.16498316498316498,0.12300000000000003,Large
700720,Luis Pino,279,Palm Beach Cardinals,2025,FSL,A,LF,21,98,413,345,69,43,16,2,9,42,54,129,0.2,.327,0.336,.663,7,2,.287,116,413,0.31234866828087166,0.13075060532687652,0.136,Large
834681,Matthew Miura,279,Palm Beach Cardinals,2025,FSL,A,CF,21,21,91,76,15,14,1,0,1,9,15,13,0.197,.330,0.25,.580,7,3,.226,19,91,0.14285714285714285,0.16483516483516483,0.05299999999999999,Moderate
703158,Jonathan Mejía,279,Palm Beach Cardinals,2025,FSL,A,2B,20,74,324,273,50,43,4,6,6,30,46,106,0.183,.303,0.308,.611,18,4,.270,84,324,0.3271604938271605,0.1419753086419753,0.125,Large
813668,Jack Gurevitch,279,Palm Beach Cardinals,2025,FSL,A,1B,21,22,99,83,15,10,1,1,1,4,13,33,0.181,.303,0.253,.556,5,1,.280,21,99,0.3333333333333333,0.13131313131313133,0.07200000000000001,Moderate
800728,Cameron Nickens,279,Palm Beach Cardinals,2025,FSL,A,LF,21,10,42,39,7,2,0,0,0,3,3,14,0.179,.238,0.179,.417,0,1,.280,7,42,0.3333333333333333,0.07142857142857142,0.0,Small
695579,Trevor Haskins,279,Palm Beach Cardinals,2025,FSL,A,2B,22,7,29,29,5,2,1,0,1,3,0,8,0.172,.172,0.31,.482,0,0,.200,9,29,0.27586206896551724,0.0,0.138,Small
809244,Bryce Madron,279,Palm Beach Cardinals,2025,FSL,A,LF,23,36,156,116,20,18,3,0,1,8,36,36,0.172,.381,0.224,.605,3,8,.241,26,156,0.23076923076923078,0.23076923076923078,0.05200000000000002,Large
801130,Alex Birge,279,Palm Beach Cardinals,2025,FSL,A,C,22,2,9,6,1,1,0,0,0,1,2,3,0.167,.444,0.167,.611,0,0,.333,1,9,0.3333333333333333,0.2222222222222222,0.0,Very small
699028,Romtres Cabrera,279,Palm Beach Cardinals,2025,FSL,A,LF,21,10,36,30,5,5,2,0,0,4,5,14,0.167,.278,0.233,.511,4,0,.294,7,36,0.3888888888888889,0.1388888888888889,0.066,Small
701675,Nathan Church,279,Palm Beach Cardinals,2025,FSL,A,CF,24,4,14,13,2,3,1,0,0,1,1,2,0.154,.214,0.231,.445,1,1,.182,3,14,0.14285714285714285,0.07142857142857142,0.07700000000000001,Very small
812430,Heriberto Caraballo,279,Palm Beach Cardinals,2025,FSL,A,C,20,20,71,61,9,8,0,0,1,4,8,19,0.148,.254,0.197,.451,1,0,.190,12,71,0.2676056338028169,0.11267605633802817,0.049000000000000016,Moderate
805550,Ryan Weingartner,279,Palm Beach Cardinals,2025,FSL,A,SS,20,21,90,69,10,7,0,1,0,6,18,26,0.145,.326,0.174,.500,5,4,.227,12,90,0.28888888888888886,0.2,0.028999999999999998,Moderate
692397,Maikel Hernandez,279,Palm Beach Cardinals,2025,FSL,A,1B,22,14,45,39,4,4,1,0,1,7,5,11,0.103,.205,0.205,.410,0,0,.111,8,45,0.24444444444444444,0.1111111111111111,0.102,Small
808145,Bracewell Taveras,279,Palm Beach Cardinals,2025,FSL,A,2B,19,3,10,9,0,1,0,0,0,0,1,4,0.0,.100,0.0,.100,0,0,.000,0,10,0.4,0.1,0.0,Very small
701675,Nathan Church,440,Springfield Cardinals,2025,TEX,AA,CF,24,29,129,119,40,21,7,1,6,19,8,10,0.336,.380,0.563,.943,6,0,.327,67,129,0.07751937984496124,0.06201550387596899,0.22699999999999992,Large
802139,JJ Wetherholt,440,Springfield Cardinals,2025,TEX,AA,SS,22,62,275,223,67,39,14,1,7,34,44,40,0.3,.425,0.466,.891,14,2,.337,104,275,0.14545454545454545,0.16,0.16600000000000004,Large
689750,Jacob Buchberger,440,Springfield Cardinals,2025,TEX,AA,LF,27,6,24,20,6,4,1,0,1,8,4,5,0.3,.417,0.5,.917,1,0,.357,10,24,0.20833333333333334,0.16666666666666666,0.2,Very small
663457,Lars Nootbaar,440,Springfield Cardinals,2025,TEX,AA,RF,27,3,14,14,4,1,0,0,0,1,0,4,0.286,.286,0.286,.572,0,0,.400,4,14,0.2857142857142857,0.0,0.0,Very small
702331,Noah Mendlinger,440,Springfield Cardinals,2025,TEX,AA,RF,24,86,361,297,83,51,13,1,0,19,46,34,0.279,.398,0.33,.728,10,4,.313,98,361,0.09418282548476455,0.12742382271468145,0.05099999999999999,Large
815104,Graysen Tarlow,440,Springfield Cardinals,2025,TEX,AA,C,23,17,69,54,15,6,1,0,0,6,13,15,0.278,.412,0.296,.708,0,1,.375,16,69,0.21739130434782608,0.18840579710144928,0.01799999999999996,Moderate
680636,Ramon Mendoza,440,Springfield Cardinals,2025,TEX,AA,3B,24,105,404,334,92,59,13,2,14,62,60,80,0.275,.390,0.452,.842,3,4,.320,151,404,0.19801980198019803,0.1485148514851485,0.177,Large
804241,Zach Levenson,440,Springfield Cardinals,2025,TEX,AA,LF,23,26,103,91,25,11,7,0,4,19,10,22,0.275,.350,0.484,.834,2,1,.318,44,103,0.21359223300970873,0.0970873786407767,0.20899999999999996,Large
695491,Joshua Báez,440,Springfield Cardinals,2025,TEX,AA,RF,22,79,331,273,74,46,15,1,16,55,41,67,0.271,.374,0.509,.883,34,7,.294,139,331,0.20241691842900303,0.12386706948640483,0.238,Large
703766,Dakota Harris,440,Springfield Cardinals,2025,TEX,AA,3B,23,117,477,435,115,67,17,0,10,49,26,82,0.264,.316,0.372,.688,23,6,.303,162,477,0.1719077568134172,0.05450733752620545,0.10799999999999998,Large
