player_id,player_name,team_id,team_name,season,league,level,position,age,games,games_started,wins,losses,innings_pitched,hits_allowed,runs_allowed,earned_runs,home_runs_allowed,walks,strikeouts,era,whip,strikeouts_per_9,walks_per_9,hits_per_9,strikeout_walk_ratio,saves,holds,ip_decimal,hr_per_9
678016,Ian Bedell,279,Palm Beach Cardinals,2025,FSL,A,P,25,2,2,0,1,5.2,4,5,5,1,3,8,7.94,1.24,12.71,4.76,6.35,2.67,0,0,5.666666666666667,1.588235294117647
828594,Michael Watson,279,Palm Beach Cardinals,2025,FSL,A,P,23,4,0,0,1,7.1,6,7,7,0,4,10,8.59,1.36,12.27,4.91,7.36,2.50,1,1,7.333333333333333,0.0
832225,Alex Breckheimer,279,Palm Beach Cardinals,2025,FSL,A,P,21,4,0,0,0,4.0,5,5,4,0,4,6,9.00,2.25,13.50,9.00,11.25,1.50,0,0,4.0,0.0
699575,Zeke Wood,279,Palm Beach Cardinals,2025,FSL,A,P,25,8,0,0,0,6.2,8,7,7,1,4,7,9.45,1.80,9.45,5.40,10.80,1.75,3,0,6.666666666666667,1.3499999999999999
699022,Samuel Fabian,279,Palm Beach Cardinals,2025,FSL,A,P,22,6,0,1,1,8.1,9,10,9,0,12,7,9.72,2.52,7.56,12.96,9.72,0.58,0,1,8.333333333333334,0.0
800243,Jovi Gálvez,279,Palm Beach Cardinals,2025,FSL,A,P,20,6,0,0,1,6.0,9,9,8,0,7,6,12.00,2.67,9.00,10.50,13.50,0.86,1,0,6.0,0.0
825101,Anthony Watts,279,Palm Beach Cardinals,2025,FSL,A,P,21,3,0,0,0,2.2,3,4,4,2,1,3,13.50,1.50,10.13,3.38,10.13,3.00,0,1,2.6666666666666665,6.75
808048,Rubén Menes,279,Palm Beach Cardinals,2025,FSL,A,P,23,3,3,0,2,8.0,13,16,13,2,6,6,14.63,2.38,6.75,6.75,14.63,1.00,0,0,8.0,2.25
808133,Giovanni Vargas,279,Palm Beach Cardinals,2025,FSL,A,P,19,1,0,0,0,1.0,4,5,5,1,2,1,45.00,6.00,9.00,18.00,36.00,0.50,0,0,1.0,9.0
824604,Liam Doyle,440,Springfield Cardinals,2025,TEX,AA,P,21,1,1,0,0,2.0,2,0,0,0,0,3,0.00,1.00,13.50,0.00,9.00,-.--,0,0,2.0,0.0
675919,Nick Raquet,440,Springfield Cardinals,2025,TEX,AA,P,29,25,0,8,1,35.0,29,6,3,0,6,38,0.77,1.00,9.77,1.54,7.46,6.33,5,2,35.0,0.0
825576,Brandt Thompson,440,Springfield Cardinals,2025,TEX,AA,P,22,2,2,1,0,9.0,6,2,1,0,3,5,1.00,1.00,5.00,3.00,6.00,1.67,0,0,9.0,0.0
828594,Michael Watson,440,Springfield Cardinals,2025,TEX,AA,P,23,17,0,2,1,24.1,12,4,3,0,10,29,1.11,0.90,10.73,3.70,4.44,2.90,3,2,24.333333333333332,0.0
703106,Ricardo Velez,440,Springfield Cardinals,2025,TEX,AA,P,26,30,1,5,1,58.2,41,18,13,3,26,53,1.99,1.14,8.13,3.99,6.29,2.04,2,3,58.666666666666664,0.46022727272727276
702119,Hunter Hayes,440,Springfield Cardinals,2025,TEX,AA,P,24,9,0,0,1,16.1,14,4,4,0,6,18,2.20,1.22,9.92,3.31,7.71,3.00,0,2,16.333333333333332,0.0
676153,Austin Love,440,Springfield Cardinals,2025,TEX,AA,P,26,41,0,6,1,56.0,33,16,15,3,26,63,2.41,1.05,10.13,4.18,5.30,2.42,2,5,56.0,0.4821428571428571
694358,Tekoah Roby,440,Springfield Cardinals,2025,TEX,AA,P,23,10,10,4,2,47.0,34,14,13,4,11,57,2.49,0.96,10.91,2.11,6.51,5.18,0,0,47.0,0.7659574468085106
802680,Tyler Bradt,440,Springfield Cardinals,2025,TEX,AA,P,24,11,2,1,1,18.0,11,7,5,1,11,19,2.50,1.22,9.50,5.50,5.50,1.73,0,2,18.0,0.5
809100,Ixan Henderson,440,Springfield Cardinals,2025,TEX,AA,P,23,25,25,9,7,132.0,99,41,38,5,51,134,2.59,1.14,9.14,3.48,6.75,2.63,0,0,132.0,0.34090909090909094
667652,Jack Ralston,440,Springfield Cardinals,2025,TEX,AA,P,27,24,0,3,3,39.1,32,14,12,4,27,50,2.75,1.50,11.44,6.18,7.32,1.85,3,2,39.333333333333336,0.9152542372881355
802408,Brycen Mautz,440,Springfield Cardinals,2025,TEX,AA,P,23,25,25,8,3,114.2,94,39,38,13,33,134,2.98,1.11,10.52,2.59,7.38,4.06,0,0,114.66666666666667,1.0203488372093024
685464,Cade Winquest,440,Springfield Cardinals,2025,TEX,AA,P,25,8,8,3,1,42.1,42,16,15,3,12,42,3.19,1.28,8.93,2.55,8.93,3.50,0,0,42.333333333333336,0.6377952755905512
678975,Nathanael Heredia,440,Springfield Cardinals,2025,TEX,AA,P,24,25,0,0,1,28.0,18,13,11,3,29,29,3.54,1.68,9.32,9.32,5.79,1.00,1,3,28.0,0.9642857142857142
684516,Hancel Rincon,440,Springfield Cardinals,2025,TEX,AA,P,23,9,8,3,3,47.1,47,20,19,4,13,59,3.61,1.27,11.22,2.47,8.94,4.54,0,0,47.333333333333336,0.7605633802816901
676047,Osvaldo Berrios,440,Springfield Cardinals,2025,TEX,AA,P,25,28,4,4,3,43.1,35,22,18,6,15,48,3.74,1.15,9.97,3.12,7.27,3.20,4,2,43.333333333333336,1.246153846153846
677337,Pete Hansen,440,Springfield Cardinals,2025,TEX,AA,P,24,26,26,8,5,137.1,137,71,60,12,37,123,3.93,1.27,8.06,2.42,8.98,3.32,0,0,137.33333333333334,0.7864077669902911
703725,Luis Gastelum,440,Springfield Cardinals,2025,TEX,AA,P,23,46,0,3,5,62.2,52,29,28,3,17,92,4.02,1.10,13.21,2.44,7.47,5.41,10,6,62.666666666666664,0.4308510638297872
691008,Max Rajcic,440,Springfield Cardinals,2025,TEX,AA,P,23,16,16,3,3,73.0,73,41,33,5,27,72,4.07,1.37,8.88,3.33,9.00,2.67,0,0,73.0,0.6164383561643836
693311,Tink Hence,440,Springfield Cardinals,2025,TEX,AA,P,22,3,3,0,0,10.2,6,5,5,1,6,14,4.22,1.13,11.81,5.06,5.06,2.33,0,0,10.666666666666666,0.84375
686184,Sean Harney,440,Springfield Cardinals,2025,TEX,AA,P,26,22,1,1,1,34.0,28,16,16,2,20,31,4.24,1.41,8.21,5.29,7.41,1.55,5,2,34.0,0.5294117647058824
677312,Zane Mills,440,Springfield Cardinals,2025,TEX,AA,P,24,29,1,5,5,51.1,48,32,28,5,21,54,4.91,1.34,9.47,3.68,8.42,2.57,1,6,51.333333333333336,0.8766233766233765
687817,Andrew Marrero,440,Springfield Cardinals,2025,TEX,AA,P,25,24,0,5,0,34.2,37,21,20,5,32,47,5.19,1.99,12.20,8.31,9.61,1.47,1,4,34.666666666666664,1.2980769230769231
672405,Leonardo Taveras,440,Springfield Cardinals,2025,TEX,AA,P,26,15,1,3,1,24.2,27,16,15,2,15,30,5.47,1.70,10.95,5.47,9.85,2.00,0,2,24.666666666666668,0.7297297297297296
695003,Randel Clemente,440,Springfield Cardinals,2025,TEX,AA,P,23,12,0,0,0,14.0,8,10,10,1,18,19,6.43,1.86,12.21,11.57,5.14,1.06,0,1,14.0,0.6428571428571428
667463,John King,440,Springfield Cardinals,2025,TEX,AA,P,30,1,0,0,0,1.0,1,1,1,1,0,2,9.00,1.00,18.00,0.00,9.00,-.--,0,0,1.0,9.0
813820,Chen-Wei Lin,440,Springfield Cardinals,2025,TEX,AA,P,23,4,4,0,0,9.2,9,10,10,2,9,20,9.31,1.86,18.62,8.38,8.38,2.22,0,0,9.666666666666666,1.8620689655172415
695835,Edwin Núñez,440,Springfield Cardinals,2025,TEX,AA,P,23,22,0,3,0,27.1,26,34,32,3,35,33,10.54,2.23,10.87,11.52,8.56,0.94,0,0,27.333333333333332,0.9878048780487805
662914,Ryan Shreve,440,Springfield Cardinals,2025,TEX,AA,P,27,3,0,0,1,5.1,11,9,7,1,4,2,11.81,2.81,3.38,6.75,18.56,0.50,0,0,5.333333333333333,1.6875
826314,Mason Burns,440,Springfield Cardinals,2025,TEX,AA,P,23,2,0,0,0,3.0,4,4,4,1,2,4,12.00,2.00,12.00,6.00,12.00,2.00,0,1,3.0,3.0
641739,Rob Kaminsky,235,Memphis Redbirds,2025,INT,AAA,P,30,1,0,1,0,1.0,0,0,0,0,1,1,0.00,1.00,9.00,9.00,0.00,1.00,0,0,1.0,0.0
690914,Brody Moore,235,Memphis Redbirds,2025,INT,AAA,SS,24,2,0,1,0,3.0,2,0,0,0,0,0,0.00,0.67,0.00,0.00,6.00,-.--,0,0,3.0,0.0
642575,Gerson Moreno,235,Memphis Redbirds,2025,INT,AAA,P,29,14,0,1,0,14.2,4,4,2,0,11,15,1.23,1.02,9.20,6.75,2.45,1.36,0,2,14.666666666666666,0.0
701552,Andre Granillo,235,Memphis Redbirds,2025,INT,AAA,P,25,29,0,5,0,42.0,21,6,6,2,14,58,1.29,0.83,12.43,3.00,4.50,4.14,2,4,42.0,0.42857142857142855
677312,Zane Mills,235,Memphis Redbirds,2025,INT,AAA,P,24,2,1,0,0,3.2,2,1,1,0,2,4,2.45,1.09,9.82,4.91,4.91,2.00,0,0,3.6666666666666665,0.0
676617,Riley O'Brien,235,Memphis Redbirds,2025,INT,AAA,P,30,19,0,1,0,19.1,16,7,6,1,8,32,2.79,1.24,14.90,3.72,7.45,4.00,3,0,19.333333333333332,0.4655172413793104
681676,Ryan Fernandez,235,Memphis Redbirds,2025,INT,AAA,P,27,29,0,4,1,34.2,23,12,12,1,20,49,3.12,1.24,12.72,5.19,5.97,2.45,2,2,34.666666666666664,0.25961538461538464
668954,Curtis Taylor,235,Memphis Redbirds,2025,INT,AAA,P,29,31,24,10,4,137.1,112,55,49,14,51,118,3.21,1.19,7.73,3.34,7.34,2.31,1,1,137.33333333333334,0.9174757281553397
682610,Roddery Muñoz,235,Memphis Redbirds,2025,INT,AAA,P,25,38,0,4,3,57.2,46,22,21,4,30,76,3.28,1.32,11.86,4.68,7.18,2.53,3,2,57.666666666666664,0.6242774566473989
694335,Matt Svanson,235,Memphis Redbirds,2025,INT,AAA,P,26,15,0,1,0,21.2,26,9,8,1,9,22,3.32,1.62,9.14,3.74,10.80,2.44,1,0,21.666666666666668,0.41538461538461535
667463,John King,235,Memphis Redbirds,2025,INT,AAA,P,30,3,0,0,1,2.2,4,3,1,0,1,2,3.38,1.88,6.75,3.38,13.50,2.00,0,0,2.6666666666666665,0.0
702795,Ryan Loutos,235,Memphis Redbirds,2025,INT,AAA,P,26,8,0,0,0,8.0,7,3,3,1,2,6,3.38,1.13,6.75,2.25,7.88,3.00,2,0,8.0,1.125
